Month-Year,Data
2017-01,0.146
2017-02,0.1432
2017-03,0.1497
2017-04,0.1692
2017-05,0.201
2017-06,0.2395
2017-07,0.2747
2017-08,0.2969
2017-09,0.303
2017-10,0.3025
2017-11,0.3085
2017-12,0.3293
2018-01,0.3588
2018-02,0.3842
2018-03,0.3919
2018-04,0.3747
2018-05,0.3297
2018-06,0.2583
2018-07,0.1686
2018-08,0.0701
2018-09,-0.0283
2018-10,-0.1212
2018-11,-0.2047
2018-12,-0.2754
2019-01,-0.3293
2019-02,-0.3629
2019-03,-0.3751
2019-04,-0.3705
2019-05,-0.3559
2019-06,-0.3377
2019-07,-0.3206
2019-08,-0.3075
2019-09,-0.3003
2019-10,-0.2996
2019-11,-0.3057
2019-12,-0.3182
