Date,Long Carry,Short Carry
01-01-2017,0.65%,-2.42%
02-01-2017,0.78%,-2.50%
03-01-2017,0.66%,-2.38%
04-01-2017,0.34%,-2.10%
05-01-2017,0.32%,-2.22%
06-01-2017,0.27%,-2.15%
07-01-2017,0.09%,-2.13%
08-01-2017,-0.01%,-1.82%
09-01-2017,-0.14%,-1.71%
10-01-2017,-0.09%,-1.75%
11-01-2017,-0.13%,-1.74%
12-01-2017,-0.34%,-1.38%
01-01-2018,-0.59%,-1.17%
02-01-2018,-0.47%,-1.20%
03-01-2018,-0.54%,-1.12%
04-01-2018,-0.38%,-1.20%
05-01-2018,-0.65%,-0.84%
06-01-2018,-0.80%,-0.72%
07-01-2018,-0.65%,-0.87%
08-01-2018,-0.96%,-0.74%
09-01-2018,-0.95%,-0.75%
10-01-2018,-1.00%,-0.87%
11-01-2018,-1.25%,-0.64%
12-01-2018,-1.35%,-0.54%
01-01-2019,-1.39%,-0.50%
02-01-2019,-1.42%,-0.51%
03-01-2019,-1.83%,-0.45%
04-01-2019,-1.79%,-0.44%
05-01-2019,-1.69%,-0.42%
06-01-2019,-1.95%,-0.48%
07-01-2019,-1.99%,-0.49%
08-01-2019,-2.23%,-0.12%
09-01-2019,-2.23%,-0.12%
10-01-2019,-2.15%,-0.10%
11-01-2019,-2.11%,-0.10%
12-01-2019,-2.12%,-0.08%
