Month-Year,Data
2017-01,1.1049
2017-02,1.5569
2017-03,1.5852
2017-04,1.3909
2017-05,1.3773
2017-06,1.4156
2017-07,1.27
2017-08,1.339
2017-09,1.5011
2017-10,1.3424
2017-11,1.4384
2017-12,1.6143
2018-01,1.4627
2018-02,1.6988
2018-03,1.6145
2018-04,1.8452
2018-05,1.5477
2018-06,1.6628
2018-07,1.6205
2018-08,1.6746
2018-09,1.4033
2018-10,1.4193
2018-11,1.2982
2018-12,1.1261
2019-01,1.2693
2019-02,1.266
2019-03,1.5775
2019-04,1.6893
2019-05,1.689
2019-06,1.6503
2019-07,1.7533
2019-08,1.8396
2019-09,1.8146
2019-10,1.872
2019-11,1.724
2019-12,1.5248
